"date","total_oil","avg_oil","avg_downtime_pct","avg_temp","avg_pressure","active_wells"
"2025-10-01 00:00:00",717.5,143.5,23.08,84.84,115.81,5
"2025-10-02 00:00:00",717.3,143.46,23.33,84.84,115.85,5
"2025-10-03 00:00:00",719.2,143.84,23.17,85.04,115.87,5
"2025-10-04 00:00:00",507.8,126.95,27.6,83.9,114.96,4
"2025-10-05 00:00:00",721.0,144.2,22.92,84.88,116.05,5
"2025-10-06 00:00:00",718.6,143.72,23.42,85.06,115.85,5
"2025-10-07 00:00:00",382.7,127.57,35.56,85.83,117.22,3
"2025-10-08 00:00:00",716.4,143.28,23.0,84.98,115.77,5
"2025-10-09 00:00:00",721.7,144.34,22.5,84.82,116.27,5
"2025-10-10 00:00:00",718.5,143.7,23.25,85.02,115.87,5
"2025-10-11 00:00:00",714.8,142.96,23.67,85.14,115.57,5
"2025-10-12 00:00:00",718.3,143.66,23.33,84.98,115.89,5
"2025-10-13 00:00:00",723.2,144.64,22.25,84.8,116.25,5
"2025-10-14 00:00:00",385.9,128.63,34.45,85.6,117.62,3
"2025-10-15 00:00:00",718.0,143.6,23.0,84.9,115.87,5
"2025-10-16 00:00:00",714.2,142.84,23.75,85.08,115.57,5
"2025-10-17 00:00:00",716.9,143.38,23.17,85.02,115.77,5
"2025-10-18 00:00:00",721.1,144.22,22.58,84.9,116.17,5
"2025-10-19 00:00:00",722.5,144.5,22.25,84.74,116.31,5
"2025-10-20 00:00:00",719.2,143.84,23.08,84.86,115.99,5
"2025-10-21 00:00:00",717.5,143.5,23.33,85.1,115.81,5
"2025-10-22 00:00:00",717.3,143.46,23.42,85.1,115.75,5
"2025-10-23 00:00:00",719.8,143.96,22.75,84.82,115.95,5
"2025-10-24 00:00:00",600.0,150.0,26.25,86.15,118.44,4
"2025-10-25 00:00:00",719.8,143.96,22.92,84.94,116.05,5
"2025-10-26 00:00:00",716.6,143.32,23.5,85.1,115.75,5
"2025-10-27 00:00:00",718.0,143.6,23.08,84.92,115.95,5
"2025-10-28 00:00:00",506.0,126.5,28.12,84.0,114.81,4
"2025-10-29 00:00:00",720.7,144.14,22.42,84.8,116.11,5
"2025-10-30 00:00:00",719.8,143.96,22.83,84.92,116.05,5
